Q,A
SMARTEAMを起動すると「権限がありません。管理者に連絡してください。」と表示され起動しない。,ウィンドウズエクスプローラーを開いて右側にあるUドライブが接続されているか確認します。Work(\\mik-nt12)(U:)に赤い×印が表示されているとSMARTEAMが起動しません。Work(\\mik-nt12)(U:)上をクリックすると赤い×が消えます。消えるとSMARTEAMを起動してください。 Work(\\mik-nt12)(U:)に赤い×印が表示されているとSMARTEAMが起動しません。 Work(\\mik-nt12)(U:)上をクリックすると赤い×が消えます。 消えるとSMARTEAMを起動してください。
Ｓｕｒｆａｃｅで電源ボタンを押しても起動しない。,下記の操作を行ってください。今から行う操作は「:ツー ボタンシャットダウン」と呼ばれるものです。ツーボタンによるシャットダウン プロセスは、Surface の電源を完全にオフにする方法です。操作手順は、次のとおりです。1.Surface の電源ボタンを 30 秒間押し続けます。2.Surface の音量を上げるボタンと電源ボタンを同時に押し、そのまま 15 秒以上押し続けてから、両方のボタンを離します。画面に Surface ロゴが短時間表示される場合がありますが、両方のボタンを少なくとも 15 秒間は押し続けてください。3.ボタンを離した後、10 秒間待ちます。4.電源ボタンを押して離し、再度 Surface の電源を入れます。 
SurfaceでF8キーやExcelでF2キーを押してもスピーカーの音量だったりASでページダウンが出来なくなった。,ファンクション キーのロック/ロック解除 (Fn + Caps)をクリックしてください。
メールソフト「Thunderbird」で画像付きのメールが送られてきたが返信すると画像が消えてしまう。,返信したいメールをクリックしキーボードの「Shift」キーを押しながら「返信」ボタンをクリックします。Html形式に変換される為画像が表示されます。
取引先とEDIを行う為に初期設定でどのボタンをクリックしても反応しない。,"信頼済みサイトで登録をして再度EDIサイトを起動してください。信頼済みサイトと登録方法は下の通りです。 １．IEの画面右上にあるツール（ギアマーク）をクリックします。 ２．「インターネットのプロパティ」をクリックします。 ３．「セキュリティ」タブをクリックします。 ４．「信頼済みサイト」をクリックします。 ５．「サイト」ボタンをクリックします。 ６．「のWebサイトをゾーンに追加する」の入力欄にEDIサイトのURLを入力します。（すでに記述されている場合はそのままで結構です。） ７．「追加」ボタンをクリックします。 　※URLの最初の文字が「http」の場合、下にある「このゾーンのサイトにはすべてのサーバーの確認(https:)を必要とする」のチェックをはずします。 ８．「閉じる」ボタンをクリックして処理が終了です。"""
IEとは？,インターネットエクスプローラ（Internet Explorer)の略称です。 インダストリアル・エンジンニア（Industrial Engineering)の略称でもあります。 インターネットエクスプローラーはホームページ等を見るソフト、インダストリアル・エンジニアは「工程管理」の技術の一つです。 例えば「IEでIEを調べる。」といった具合に混乱をまねくような事は言うのはやめましょう。
取引先とEDIを行う為に証明書をインストールする必要があるのにインストールすることができない。,開いているインターネットエクスプローラーを全て閉じます。タスクバーにある「ｅ」マークに
ＥＤＩってなに？,EDIとは英語のElectronic Data Interchangeの頭文字をとった言葉であり、日本語にすると「電子データ交換」という意味になります。 メリットとして「業務効率化」があげられます。 詳しくはWebで！！
MPCに出張になりました。印刷したいのでプリンタドライバをインストールしたいのですが、簡単ですか？,ちょー簡単です。クリックするだけですぐインストールできます！ プリンタドライバは下のフォルダに保存してあります。 全社共有区画→情報システム部→●全社公開用→◎システムG→●●プリンタドライバ 自分が使用しているOSのフォルダを開きます。 インストールしたい場所のフォルダを開きます。 カラー、モノクロのドライバをインストールします。 それぞれのフォルダを開くと「setup.exe」があります。setup.exeにカーソルを合わせ右クリックします。 メニューが表示されますので、「管理者として実行」をクリックします。 表示される画面通りに「OK」ボタンと「インストール」ボタンをクリックするとインストールが開始されます。 ドライバのインストール後、PCを再起動すると印刷することができます。※Windows10を使用している人はインストールする場所のフォルダがない場合は、「Windows7」ファルダに保存されているドライバをインストールしてください。
POWEREGGの汎用申請から稟議申請を行いましたが、差戻しになりました。その稟議を編集したいのですが、差戻しになった稟議がどこにあるのかわかりません。どこ？,POWEREGGの「ワークフロー」→「汎用申請」→「照会・活用申請」タブをクリックすると差戻しになった稟議が表示されています。稟議を開き「編集」ボタンをクリックすると編集することができます。
知らないところ(人)からメールが届きました。どうしたらいいですか？,迷わず削除です！メールを開かずに削除してください！削除後ゴミ箱に移動したメールも削除してください！
ホームページを見てると「Windowsセキュリティシステムが破損しています」とシステム警告が表示された。「更新」ボタンをクリックしても大丈夫？,今すぐ、インターネットエクスプローラーを閉じてください。「X」をクリックしても閉じない場合は、強制的に閉じるしかありません。 画面下のタスクバー上にカーソルを移動させ右クリックします。 メニューの中から「タスクマネージャー」をクリックします。 表示された画面上に「Internet Explorer」と表示されているので、クリックして選択します。表示されている画面左下にある「タスクの終了」ボタンをクリックします。「Internet Explorer」が強制的に終了します。 
近くにいる人のノートPC起動時のHDDパスワードを3回間違えてピーと大きい音がしている。,ピーと音がしましたら、電源を切ってください。電源ボタン長押しで電源オフになります。電源を入れて次は間違えないようにしましょう。
Excelの関数について教えてください。,インターネットエクスプローラーを開きます。 https://www.google.co.jpと入力します。Excel 関数と入力し検索してください。
iPhoneとのデザリング方法,
iPhoneでテザリングでVPNが接続できない。,
POWEREGGのスケジュールの不参加を表示させたい,
スケジュール予約する際会議室も一緒に予約したい,
社内ネットワークに接続できない,
Windows10でSMARTEAMのアイコンがない,
TV会議システムの利用場所について,
TV会議でPCの画面をプロジェクターに表示させる方法（接続先にも表示）,
ｅメールアドレスのパスワードを忘れた。,
WiFiでの社内ネットワーク接続について,
インターネットのＨＰを業務上必要となり閲覧したい。どうすればいいのか？,
サーバーのデータを削除してしまいました。どうすればいいですか？,
サーバーのフォルダを移動していまいました。どうすれば元に戻せますか？,戻せません。システム部までご連絡ください。番号：
出張することになりました,国内、中国（香港、台湾以外）、その他海外
出張(国内)する事になりPCを出先から社内ネットワークに接続する方法を教えてください。,
中国に出張になりました。中国国内から社内ネットワークに接続する方法を教えてください。,
