asdf,1,asdf,asdf,asdf,asdf,asdf,asdf,asdf,asdf,asdf,asdf,asdf,asdf,asdf,asdf,111,asdf,11,asdf,12,12,12,12,asdf,asdf,1.2,1.3,1.4,1.5,1.6,1.7,asdf,asdf,1.2,2000-09-01,asdf,asdf,asdf
MPTW,3,OUT,STD BXR,DELTA,A0031,140102,IN21112903,2021-12-06,SA21C06002,?車器,127865800,Brakes,,BXR-10-10-A-53,Goods,400,PCS,3870,001,376164,0,376164,1548000,,53363,14.18609968,322801,322801,0,0,0,,MIKI PULLEY CO.LTD,2021,0000-00-00,Motor,,
MPTW,3,OUT,STD BXR,DELTA,A0031,140102,IN21112903,2021-12-06,SA21C06002,?車器,127974400,Brakes,,BXR-14-10-A-41,Goods,80,PCS,5480,001,106531,0,106531,438400,,9778,9.17854897,96753,96753,0,0,0,,MIKI PULLEY CO.LTD,2021,0000-00-00,Motor,,
MPTW,3,OUT,STD BXR,DELTA,A0031,140102,IN21112903,2021-12-06,SA21C06002,?車器,127974400,Brakes,,BXR-14-10-A-41,Goods,80,PCS,5480,001,106531,0,106531,438400,,9778,9.17854897,96753,96753,0,0,0,,MIKI PULLEY CO.LTD,2021,0000-00-00,Motor,,
MPTW,3,OUT,STD BXR,DELTA,A0031,140102,IN21112903,2021-12-06,SA21C06002,?車器,127974400,Brakes,,BXR-14-10-A-41,Goods,80,PCS,5480,001,106531,0,106531,438400,,9778,9.17854897,96753,96753,0,0,0,,MIKI PULLEY CO.LTD,2021,0000-00-00,Motor,,
MPTW,3,OUT,STD BXR,DELTA,A0031,140102,IN21112903,2021-12-06,SA21C06002,?車器,127974400,Brakes,,BXR-14-10-A-41,Goods,80,PCS,5480,001,106531,0,106531,438400,,9778,9.17854897,96753,96753,0,0,0,,MIKI PULLEY CO.LTD,2021,0000-00-00,Motor,,
MPTW,3,OUT,STD BXR,DELTA,A0031,140102,IN21112903,2021-12-06,SA21C06002,?車器,127974400,Brakes,,BXR-14-10-A-41,Goods,80,PCS,5480,001,106531,0,106531,438400,,9778,9.17854897,96753,96753,0,0,0,,MIKI PULLEY CO.LTD,2021,0000-00-00,Motor,,
MPTW,3,OUT,STD BXR,DELTA,A0031,140102,IN21112903,2021-12-06,SA21C06002,?車器,127974400,Brakes,,BXR-14-10-A-41,Goods,80,PCS,5480,001,106531,0,106531,438400,,9778,9.17854897,96753,96753,0,0,0,,MIKI PULLEY CO.LTD,2021,0000-00-00,Motor,,
MPTW,3,OUT,Micro BXW,DELTA,A0031,120101,IN21120601,2021-12-06,SA21C06001,?車器 (保?品),TW90987,Brakes,,BXW-03-10-115,FG,350,PCS,2150,001,179848,0,179848,752500,,32541.265,18.09375973,147306.735,100444.318,11954.533,22133.001,12774.883,,,2021,0000-00-00,Motor,,
MPTW,3,OUT,Micro BXW,DELTA,A0031,120101,IN21120601,2021-12-06,SA21C06001,?車器 (保?品),TW90987,Brakes,,BXW-03-10-115,FG,130,PCS,2150,001,66801,0,66801,279500,,12087.07,18.0941453,54713.93,37307.89,4440.255,8220.829,4744.956,,,2021,0000-00-00,Motor,,
MPTW,3,OUT,Micro BXW,DELTA,A0031,120101,IN21120601,2021-12-06,SA21C06001,?車器 (保?品),TW90987,Brakes,,BXW-03-10-115,FG,20,PCS,2150,001,10277,0,10277,43000,,1859.473,18.09353897,8417.527,5739.675,683.116,1264.743,729.993,,,2021,0000-00-00,Motor,,
MPTW,3,OUT,Micro BXW,DELTA,A0031,120101,IN21120601,2021-12-06,SA21C06001,?車器 (保?品),TW90987,Brakes,,BXW-03-10-115,FG,180,PCS,2150,001,92493,0,92493,387000,,16735.251,18.09353248,75757.749,51657.078,6148.045,11382.686,6569.94,,,2021,0000-00-00,Motor,,
MPTW,3,OUT,Micro BXW,DELTA,A0031,120101,IN21120601,2021-12-06,SA21C06001,?車器 (保?品),TW90987,Brakes,,BXW-03-10-115,FG,320,PCS,2150,001,164432,0,164432,688000,,29751.557,18.09353228,134680.443,91834.805,10929.859,20235.886,11679.893,,,2021,0000-00-00,Motor,,
MPTW,3,OUT,Micro BXW,DELTA,A0031,120101,IN21120601,2021-12-06,SA21C06001,?車器 (保?品),TW90989,Brakes,,BXW-03-10-116,FG,400,PCS,2150,001,205540,0,205540,860000,,28518.59,13.87495865,177021.41,111484.044,15456.834,31417.843,18662.689,,,2021,0000-00-00,Motor,,
MPTW,3,OUT,Micro BXW,DELTA,A0031,120101,IN21120601,2021-12-06,SA21C06001,?車器 (保?品),TW90988,Brakes,,BXW-05-10-72,FG,240,PCS,2430,001,139385,0,139385,583200,,24820.582,17.80721168,114564.418,80583.793,8242.473,15081.8,10656.352,,,2021,0000-00-00,Motor,,
MPTW,3,OUT,Micro BXW,DELTA,A0031,120101,IN21120601,2021-12-06,SA21C06001,?車器 (保?品),TW90988,Brakes,,BXW-05-10-72,FG,260,PCS,2430,001,151000,0,151000,631800,,26888.548,17.80698543,124111.452,87299.109,8929.345,16338.617,11544.381,,,2021,0000-00-00,Motor,,
MPTW,3,OUT,Micro BXW,DELTA,A0031,120101,IN21120601,2021-12-06,SA21C06001,?車器 (保?品),TW90988,Brakes,,BXW-05-10-72,FG,500,PCS,2430,001,290385,0,290385,1215000,,51709.131,17.80709437,238675.869,167882.901,17171.818,31420.417,22200.733,,,2021,0000-00-00,Motor,,
MPTW,3,OUT,Micro BXW,DELTA,A0031,120101,IN21120601,2021-12-06,SA21C06001,?車器 (保?品),TW90988,Brakes,,BXW-05-10-72,FG,30,PCS,2430,001,17423,0,17423,72900,,3102.448,17.80662343,14320.552,10072.974,1030.309,1885.225,1332.044,,,2021,0000-00-00,Motor,,
MPTW,3,OUT,Micro BXW,DELTA,A0031,120101,IN21120601,2021-12-06,SA21C06001,?車器 (保?品),TW90988,Brakes,,BXW-05-10-72,FG,460,PCS,2430,001,267154,0,267154,1117800,,47572.199,17.80703227,219581.801,154452.269,15798.073,28906.784,20424.675,,,2021,0000-00-00,Motor,,
MPTW,3,OUT,Micro BXW,DELTA,A0031,120101,IN21120601,2021-12-06,SA21C06001,?車器 (保?品),TW90988,Brakes,,BXW-05-10-72,FG,10,PCS,2430,001,5808,0,5808,24300,,1034.483,17.81134642,4773.517,3357.658,343.436,628.408,444.015,,,2021,0000-00-00,Motor,,
