MPTW,3,IN,Micro BXW,MPEU,A0007,120101,IN21121001,2021-12-09,SA21C09001,?車器 (保?品),121055800,Brakes,,BFK457-02-0.50NM-24V,FG,260,PCS,13.15,002,94860,0,94860,3419,4510204594,13898.176,14.65125026,80961.824,69893.679,3067.059,6234.766,1766.32,,,2021-07-22,,,,
MPTW,3,OUT,Servoflex SFC,ACE PILLER,A0030,230100,UT92673687,2021-12-09,SA21C09002,聯軸器,127733000,Couplings,CHIEH YUNG AUTOMATION CORP,SFC-050DA2-10B-19B,FG,2,PCS,891,,1782,89,1871,0,新竹物流319-442-8904,1782,100,0,0,0,0,0,X0105,,2021-12-02,8000,Trading company,9000,The others
MPTW,3,OUT,Servoflex SFC,ACE PILLER,A0030,230100,UT92673687,2021-12-09,SA21C09002,聯軸器,127716000,Couplings,FUKURO,SFC-010SA2-8B-8B,FG,1,PCS,304,,304,15,319,0,自取,304,100,0,0,0,0,0,X1250,,2021-12-03,8000,Trading company,,
MPTW,3,OUT,Servoflex SFC,ACE PILLER,A0030,230100,UT92673688,2021-12-09,SA21C09003,聯軸器,127719200,Couplings,Song Ho industrial Co. Ltd.,SFC-020SA2-8B-8B,FG,2,PCS,293,,586,29,615,0,NO.9,586,100,0,0,0,0,0,X1248,,2021-12-02,8000,Trading company,,
MPTW,3,OUT,Servoflex SFC,ACE PILLER,A0030,230100,UT92673688,2021-12-09,SA21C09003,聯軸器,127719700,Couplings,FAIR OAKS PRECISION MACHINERY CO. LTD.,SFC-030DA2-10B-14B,FG,2,PCS,447,,894,45,939,0,NO.9,894,100,0,0,0,0,0,X1045,,2021-12-01,8000,Trading company,,
MPTW,3,OUT,Servoflex SFC,ACE PILLER,A0030,230100,UT92673688,2021-12-09,SA21C09003,聯軸器,127720000,Couplings,JUN HOW PRECISION CO. LTD.,SFC-030DA2-12B-14B,FG,1,PCS,447,,447,22,469,0,NO.9,447,100,0,0,0,0,0,X0136,,2021-10-27,8000,Trading company,1100,Semiconductor making equipment
MPTW,3,OUT,Servoflex SFC,ACE PILLER,A0030,230100,UT92673688,2021-12-09,SA21C09003,聯軸器,127721500,Couplings,JUN HOW PRECISION CO. LTD.,SFC-030DA2-8B-8B,FG,1,PCS,447,,447,22,469,0,NO.9,447,100,0,0,0,0,0,X0136,,2021-10-27,8000,Trading company,1100,Semiconductor making equipment
MPTW,3,OUT,Servoflex SFC,ACE PILLER,A0030,230100,UT92673688,2021-12-09,SA21C09003,聯軸器,127722700,Couplings,TAI SHENG MACHANICAL BEARING CO. LTD.,SFC-030SA2-6B-10B,FG,1,PCS,324,,324,16,340,0,NO.9,324,100,0,0,0,0,0,X0547,,2021-12-07,8000,Trading company,0200,Automation equipment
MPTW,3,OUT,Servoflex SFC,ACE PILLER,A0030,230100,UT92673688,2021-12-09,SA21C09003,聯軸器,127723600,Couplings,GALLANT MICRO. MACHINING CO. LTD,SFC-035DA2-10B-14B,FG,1,PCS,541,,541,27,568,0,NO.9,541,100,0,0,0,0,0,X0165,,2021-12-07,8000,Trading company,1100,Semiconductor making equipment
MPTW,3,OUT,Servoflex SFC,ACE PILLER,A0030,230100,UT92673688,2021-12-09,SA21C09003,聯軸器,127724200,Couplings,JUN HOW PRECISION CO. LTD.,SFC-035DA2-12B-14B,FG,2,PCS,541,,1082,54,1136,0,NO.9,1082,100,0,0,0,0,0,X0136,,2021-10-27,8000,Trading company,1100,Semiconductor making equipment
MPTW,3,OUT,Servoflex SFC,ACE PILLER,A0030,230100,UT92673688,2021-12-09,SA21C09003,聯軸器,127724200,Couplings,Ho-Shin Automation Co.Ltd.,SFC-035DA2-12B-14B,FG,2,PCS,541,,1082,54,1136,0,NO.9,1082,100,0,0,0,0,0,X0115,,2021-12-01,8000,Trading company,9000,The others
