MPTW,1,IN,2021-12-16,A01,310200,Reduction Gear,2022-01-28,A0001,MPJP,TW90949,NHN-50-30L INPUT SHAFT-BALL TYPE,10,PCS,11624,001,28177,,0,
MPTW,1,OUT,2021-12-16,A02,230100,Servoflex SFC,2022-01-27,A0030,ACE PILLER,127754000,SFC-090SA2-35B-35B,20,PCS,920,,18400,AWEA MECHANT,8000,Trading company
MPTW,1,OUT,2021-12-16,A02,230100,Servoflex SFC,2021-12-23,A0030,ACE PILLER,127751300,SFC-080SA2-30B-32B,12,PCS,876,,10512,INNOLUX CORP,8000,Trading company
MPTW,1,OUT,2021-12-16,A02,230100,Servoflex SFC,2021-12-23,A0030,ACE PILLER,127729300,SFC-040DA2-14B-19B,20,PCS,612,,12240,Ray Feng Mac,8000,Trading company
MPTW,1,OUT,2021-12-16,A02,230100,Servoflex SFC,2021-12-23,A0030,ACE PILLER,127751400,SFC-080SA2-30B-35B,2,PCS,833,,1666,FALCON MACHI,8000,Trading company
MPTW,1,OUT,2021-12-16,A02,230100,Servoflex SFC,2021-12-23,A0030,ACE PILLER,127747600,SFC-080DA2-24B-25B,5,PCS,1117,,5585,LEADWELL CNC,8000,Trading company
MPTW,1,OUT,2021-12-16,A02,230100,Servoflex SFC,2021-12-23,A0030,ACE PILLER,127750100,SFC-080SA2-24B-25B,1,PCS,816,,816,LEADWELL CNC,8000,Trading company
MPTW,1,OUT,2021-12-16,A02,230100,Servoflex SFC,2021-12-23,A0030,ACE PILLER,127749500,SFC-080SA2-20B-35B,3,PCS,816,,2448,LEADWELL CNC,8000,Trading company
MPTW,1,OUT,2021-12-16,A02,230100,Servoflex SFC,2021-12-23,A0030,ACE PILLER,127745200,SFC-060SA2-20B-24B,3,PCS,794,,2382,LEADWELL CNC,8000,Trading company
MPTW,1,OUT,2021-12-16,A02,230100,Servoflex SFC,2021-12-23,A0030,ACE PILLER,127748500,SFC-080DA2-30B-32B,1,PCS,1117,,1117,LEADWELL CNC,8000,Trading company
MPTW,1,OUT,2021-12-16,A02,230100,Servoflex SFC,2021-12-20,A0030,ACE PILLER,TW91455,SFC-040SA2-12BH-19BH,5,PCS,595,,2975,Li Peng Prec,8000,Trading company
MPTW,1,OUT,2021-12-16,A02,230100,Servoflex SFC,2021-12-24,A0030,ACE PILLER,TW92185,SFC-050DA2-24BH-25BH,1,PCS,1191,,1191,JUN HOW PREC,8000,Trading company
MPTW,1,OUT,2021-12-16,A02,220201,ALS-AL,2022-01-06,A0030,ACE PILLER,TW93124,ALS-080-R-32H-38H,1,PCS,1835,,1835,CHAIN WE MAC,8000,Trading company
MPTW,1,OUT,2021-12-16,A02,230100,Servoflex SFC,2021-12-20,A0030,ACE PILLER,127755500,SFC-100SA2-35B-40B,5,PCS,1363,,6815,FACTORY AUTO,8000,Trading company
MPTW,1,OUT,2021-12-16,A02,230100,Servoflex SFC,2021-12-20,A0030,ACE PILLER,127754000,SFC-090SA2-35B-35B,2,PCS,1180,,2360,FACTORY AUTO,8000,Trading company
MPTW,1,OUT,2021-12-16,A02,230100,Servoflex SFC,2021-12-20,A0030,ACE PILLER,127754000,SFC-090SA2-35B-35B,1,PCS,1180,,1180,FACTORY AUTO,8000,Trading company
