ÙþßöÛã?,?ïÃID,?ÝÂ,Ò´êÅìí,ÍÓËÔýñØÐÒ¡Ñ¢,?ß¾?èâ?ÝÂ,ÍÓËÔÕÔ?,ÍÓËÔåöðú«³?«É,ù¡Ûã,ù¡Ù£,?Õá,÷×ü§«³?«É,????,ê«?£¨??£©,ð²ù¡ñéÝÂ×¾«³?«É,ÞÂìýà»Ù£?,ÞÂìýà»?èâ?ÝÂ,«æ?«¶Ù£?,«æ?«¶åöðú«³?«É
,,,,,,x,«³?«É,Product No.,Description,Qty,,,Sales cost,Group code,Supplier,,,
,MPKR,3,20220103,20220103,OUT,DKM,0100,121586200,POWER SUPPLY: BEM-2T 360L,30,KRW,2500,280,01901,IN,,,
,MPKR,3,20220103,20220103,OUT,DNG WITH,1200,103290200,BRAKE: 112-02-11 12V 5,100,KRW,29000,1396,01101,IN,,,
,MPKR,3,20220103,20220103,OUT,EVERDIGM,0400,104409300,COUPLING: CF-A-140-SC-1360,4,KRW,255000,8129,02101,IN,,,
,MPKR,3,20220103,20220103,OUT,EVERDIGM,0400,104433000,COUPLING: CF-A-080-SC-1360,4,KRW,185000,5980,02101,IN,,,
,MPKR,3,20220103,20220103,OUT,SPG,0100,122088700,BRAKE: BXW-02-10M-45V-6,100,KRW,19500,1400,01201,OUT,,,
,MPKR,3,20220103,20220103,OUT,SPG,0100,122089600,BRAKE: BXW-03-10M-90V-8,100,KRW,21400,1870,01201,OUT,,,
,MPKR,3,20220103,20220103,OUT,SPG,0100,122517800,BRAKE: BXW-04-10M-03-45V-10,100,KRW,23900,1776,01201,OUT,,,
,MPKR,3,20220103,20220103,OUT,SPG,0100,122518000,BRAKE: BXW-04-10M-03-90V-10,200,KRW,23900,1794,01201,OUT,,,
,MPKR,3,20220103,20220103,OUT,SPG,0100,122089900,BRAKE: BXW-04-10M-05-90V-10,200,KRW,23900,1795,01201,OUT,,,
,MPKR,3,20220103,20220103,OUT,SPG,0100,122089700,BRAKE: BXW-03-10M-180V-8,100,KRW,21400,1918,01201,OUT,,,
,MPKR,3,20220103,20220103,OUT,SPG,0100,122090000,BRAKE: BXW-04-10M-05-180V-10,100,KRW,23900,1810,01201,OUT,,,
,MPKR,3,20220103,20220103,OUT,SPG,1100,123029700,POWER SUPPLY: BEM-2T-A-1,900,KRW,1970,276,01901,IN,,,
,MPKR,3,20220103,20220103,OUT,T ROBOTICS,1100,120959400,ETP-BUSH: ETP-T-35-C,2,KRW,0,5072,02601,IN,,,
,MPKR,3,20220103,20220103,OUT,T ROBOTICS,1600,130019400,BRAKE: BXH-16-10-A-74,2,KRW,0,14426,01401,IN,,,
,MPKR,3,20220103,20220103,OUT,DILLI,1600,,COUPLING: SFF-100SS-T043N,6,KRW,128700,,02302,IN,,,
,MPKR,3,20220103,20220103,OUT,DILLI,1600,128287200,COUPLING: SFF-120SS-T006N,6,KRW,171000,6827,02302,IN,,,
,MPKR,3,20220103,20220103,OUT,DILLI,0100,128090200,COUPLING: SFC-090SA2-T075,20,KRW,102000,4001,02301,IN,,,
,MPKR,3,20220103,20220103,OUT,SEOJIN TECH,0400,121519100,BRAKE: BXW-04-10H-24V-10,40,KRW,49000,1650,01201,IN,,,
