据点ID,区分,出货日期,客户希望纳期,销售GPR内外,英文顾客,顧客業種C,规格型号,产品名称,数量,货币,不含税价格,成本金额,中分类C,供应商名称,供应商集团内外,终端用户英文,终端用户行业C,ID
MPSH,3,20220105,20211230,OUT,TIANRUICHENG,8000,676140,546.31.4.5(676140),2,RMB,19500,,1501,其他,OUT,海螺集团,9090,1
MPSH,3,20220105,20211230,OUT,TIANRUICHENG,8000,676164,546.31.4.5(676164),10,RMB,19500,,1501,其他,OUT,海螺集团,9090,2
MPSH,3,20220105,20211230,OUT,TIANRUICHENG,8000,676171,546.31.4.5(676171),4,RMB,21500,,1501,其他,OUT,海螺集团,9090,3
MPSH,3,20220105,20211201,OUT,ACE,8000,128575400,SFF-120DS-48B-55BM-600N,50,RMB,1083,,2302,MPJP,IN,青岛高测,1010,4
MPSH,3,20220105,20220221,OUT,ZHENGYI BEARING,8000,123425700,111-16-11G 24V 40DIN,2,RMB,2470,,1301,MPJP,IN,深圳中基,1190,5
MPSH,3,20220105,20211217,OUT,ZHENGYI BEARING,8000,123145700,PSL-G-24,4,RMB,110,,2602,MPTJ,OUT,深圳劲拓,1150,6
MPSH,3,20220105,20211217,OUT,ZHENGYI BEARING,8000,123146100,PSL-G-32,2,RMB,128,,2602,MPTJ,OUT,深圳劲拓,1150,7
MPSH,3,20220105,20211217,OUT,ZHENGYI BEARING,8000,123146200,PSL-G-35,2,RMB,133,,2602,MPTJ,OUT,深圳劲拓,1150,8
MPSH,3,20220105,20211217,OUT,ZHENGYI BEARING,8000,123141500,PSL-D-14,2,RMB,206,,2602,MPTJ,OUT,深圳劲拓,1150,9
MPSH,3,20220105,20211217,OUT,ZHENGYI BEARING,8000,123142000,PSL-D-19,4,RMB,252,,2602,MPTJ,OUT,深圳劲拓,1150,10
MPSH,3,20220105,20211217,OUT,ZHENGYI BEARING,8000,123142400,PSL-D-25,2,RMB,345,,2602,MPTJ,OUT,深圳劲拓,1150,11
MPSH,3,20220105,20211217,OUT,NICHIDEN,8000,121698500,SFC-050SA2-14B-14B,200,RMB,170,,2301,MPTJ,OUT,牧野机床,1030,12
MPSH,3,20220105,20211217,OUT,NICHIDEN,8000,121436900,SFC-030SA2-8B-8B,6,RMB,113,,2301,MPTJ,OUT,TOWA半导体,1190,13
MPSH,3,20220105,20211217,OUT,NICHIDEN,8000,122063300,SFC-010DA2-4.5B-8B,18,RMB,132,,2301,MPTJ,OUT,丝路咖,1130,14
MPSH,3,20220105,20211220,OUT,NICHIDEN,8000,121349200,SFC-020SA2-8B-8B,1,RMB,102,,2301,MPTJ,OUT,东莞石龙,1190,15
MPSH,3,20220105,20211220,OUT,NICHIDEN,8000,121585600,SFC-020SA2-6B-8B,1,RMB,102,,2301,MPTJ,OUT,东莞石龙,1190,16
MPSH,3,20220105,20210730,OUT,YAMAZEN-SH,8000,,SFC-050SA2-T122,18,RMB,220,,2301,MPTJ,OUT,西铁城,1090,17
MPSH,3,20220105,20211220,OUT,YAMAZEN-SH,8000,122997400,SFC-080DA2-20B-24B,1,RMB,433,,2301,MPTJ,OUT,上海恩梯恩,9004,18
MPSH,3,20220105,20211222,OUT,ZHENGYI BEARING,8000,122577400,SFC-020DA2-4.5B-8B,5,RMB,130,,2301,MPTJ,OUT,东莞微格,1610,19
MPSH,3,20220105,20211221,OUT,SG GEAR MOTOR,0100,,BXL-10-10N-05,50,RMB,295,,1401,MPTJ,OUT,史克马,0140,20
MPSH,3,20220105,20211105,OUT,ACE,8000,129837400,SFF-120DS-40K-40KK-600N,30,RMB,676,,2302,MPJP,IN,宁波海天,1010,21
MPSH,3,20220105,20211119,OUT,ACE,8000,129837400,SFF-120DS-40K-40KK-600N,10,RMB,676,,2302,MPJP,IN,宁波海天,1010,22
MPSH,3,20220105,20211201,OUT,ACE,8000,128575400,SFF-120DS-48B-55BM-600N,50,RMB,1083,,2302,MPJP,IN,青岛高测,1010,23
MPSH,3,20220105,20211217,OUT,ACE,8000,130635500,SFF-120DS-40KK-50K-600N,2,RMB,793,,2302,MPJP,IN,济南二机床,1010,24
MPSH,3,20220105,20211217,OUT,ACE,8000,129837400,SFF-120DS-40K-40KK-600N,2,RMB,676,,2302,MPJP,IN,宁波海天,1010,25
MPSH,3,20220105,20211207,OUT,MITSUBISHI,0100,128886300,BXW-05-10-49,20,RMB,158.97,,1201,MPTW,OUT,三菱电机,0140,26
MPSH,3,20220105,20211207,OUT,MITSUBISHI,0100,128886300,BXW-05-10-49,120,RMB,158.97,,1201,MPTW,OUT,三菱电机,0140,27
MPSH,3,20220105,20211207,OUT,MITSUBISHI,0100,128886300,BXW-05-10-49,20,RMB,158.97,,1201,MPTW,OUT,三菱电机,0140,28
MPSH,3,20220105,20211210,OUT,MITSUBISHI,0100,128886300,BXW-05-10-49,60,RMB,158.97,,1201,MPTW,OUT,三菱电机,0140,29
MPSH,3,20220105,20220106,OUT,MITSUBISHI,0100,128884000,BXW-03-10-82,180,RMB,146.15,,1201,MPTW,OUT,三菱电机,0140,30
MPSH,3,20220105,20220114,OUT,MITSUBISHI,0100,128884000,BXW-03-10-82,20,RMB,146.15,,1201,MPTW,OUT,三菱电机,0140,31
MPSH,3,20220105,20220114,OUT,MITSUBISHI,0100,128884000,BXW-03-10-82,80,RMB,146.15,,1201,MPTW,OUT,三菱电机,0140,32
MPSH,3,20220105,20211227,OUT,MISUMI,8000,121851600,SFC-050SA2-16B-16B,8,RMB,168.38,,2301,MPTJ,OUT,米思米,8020,33
MPSH,3,20220105,20211227,OUT,MISUMI,8000,121851600,SFC-050SA2-16B-16B,24,RMB,168.38,,2301,MPTJ,OUT,米思米,8020,34
MPSH,3,20220105,20211220,OUT,ANSEN,8000,,BXH-08-10N-01,1500,RMB,172,,1401,MPTJ,OUT,南京埃斯顿,0140,35
MPSH,3,20220105,20211227,OUT,ANSEN,8000,121608300,SFC-020DA2-8B-10B,6,RMB,118,,2301,MPTJ,OUT,,,36
MPSH,3,20220105,20211227,OUT,ANSEN,8000,125627500,SFC-025DA2-8B-10B,6,RMB,123,,2301,MPTJ,OUT,,,37
MPSH,3,20220105,20211227,OUT,ANSEN,8000,122998800,SFC-080DA2-22B-35B,1,RMB,333,,2301,MPTJ,OUT,,,38
MPSH,3,20220105,20211227,OUT,ANSEN,8000,121324700,SFC-035DA2-12B-14B,5,RMB,126,,2301,MPTJ,OUT,常州莱斯达,9001,39
MPSH,3,20220105,20211227,OUT,ANSEN,8000,121478200,SFC-040DA2-12B-19B,5,RMB,160,,2301,MPTJ,OUT,,,40
MPSH,3,20220105,20211227,OUT,ANSEN,8000,121391800,SFC-010DA2-6B-8B,5,RMB,110,,2301,MPTJ,OUT,,,41
MPSH,3,20220105,20211227,OUT,ANSEN,8000,122299400,111-08-13G 24V,2,RMB,165,,1301,MPTJ,OUT,,,42
MPSH,3,20220105,20211227,OUT,ANSEN,8000,121769800,SFC-050SA2-16B-24B,2,RMB,167,,2301,MPTJ,OUT,,,43
MPSH,3,20220105,20211227,OUT,ANSEN,8000,122309300,CS-12-35G 24V R25JIS A25JIS,8,RMB,746,,1301,MPTJ,OUT,,,44
MPSH,3,20220105,20211227,OUT,ANSEN,8000,122290700,111-12-11G 24V 25JIS,7,RMB,322,,1301,MPTJ,OUT,上海工机,0220,45
MPSH,3,20220105,20211227,OUT,ANSEN,8000,,111-10-11N 24V 25JIS,8,RMB,181,,1301,MPTJ,OUT,,,46
MPSH,3,20220105,20211227,OUT,ANSEN,8000,,111-12-11N 24V 25JIS,10,RMB,247,,1301,MPTJ,OUT,,,47
MPSH,3,20220105,20211227,OUT,ANSEN,8000,,AP-98-MAT-14H,1,RMB,215,,3101,MPTJ,OUT,,,48
MPSH,3,20220105,20211227,OUT,ANSEN,8000,,P-98-MAT-16H,1,RMB,133,,3101,MPTJ,OUT,,,49
MPSH,3,20220105,20211223,OUT,ANSEN,8000,,AP-98-MAT-14H,2,RMB,215,,3101,MPTJ,OUT,,,50
MPSH,3,20220105,20211223,OUT,ANSEN,8000,,P-98-MAT-14H,2,RMB,133,,3101,MPTJ,OUT,,,51
MPSH,3,20220105,20211227,OUT,ANSEN,8000,,CS-12-33N 24V 25DIN,16,RMB,303,,1301,MPTJ,OUT,常州坚新,1610,52
MPSH,3,20220105,20211227,OUT,ANSEN,8000,,111-10-11N 24V 25DIN,16,RMB,181,,1301,MPTJ,OUT,,,53
MPSH,3,20220105,20220103,OUT,ANSEN,8000,122287800,101-10-13G 24V 25JIS,2,RMB,219,,1301,MPTJ,OUT,上海工机,0220,54
MPSH,3,20220105,20211227,OUT,ANSEN,8000,123142000,PSL-D-19,2,RMB,229,,2602,MPTJ,OUT,,,55
MPSH,3,20220105,20211225,OUT,NICHIDEN,8000,121478900,SFC-060DA2-25B-28B,2,RMB,330,,2301,MPTJ,OUT,牧野机床,1030,56
MPSH,3,20220105,20211225,OUT,BITPASS,8000,123392100,SFF-100DS-35K-45K,2,RMB,558,,2302,MPTJ,OUT,上海意特利,1090,57
MPSH,3,20220105,20211230,OUT,BITPASS,8000,121318400,SFC-030SA2-8B-10B,2,RMB,43,,2301,MPTJ,OUT,昆山杰士德,1190,58
MPSH,3,20220105,20211227,OUT,BITPASS,8000,,ALS-065ARN-22BHA-32BHA,10,RMB,143,,2202,MPTJ,OUT,上海东富龙,1820,59
MPSH,3,20220105,20211227,OUT,BITPASS,8000,,ALS-080ARN-35BHA-45BHA,7,RMB,227,,2202,MPTJ,OUT,上海东富龙,1820,60
MPSH,3,20220105,20211227,OUT,BITPASS,8000,129610000,SFC-035DA2-14B-19B,5,RMB,67,,2301,MPTJ,OUT,苏州迈为,1190,61
MPSH,3,20220105,20211227,OUT,BITPASS,8000,126744800,SFC-040SA2-14B-20B,5,RMB,53,,2301,MPTJ,OUT,昆山杰士德,1190,62
MPSH,3,20220105,20211227,OUT,BITPASS,8000,126744800,SFC-040SA2-14B-20B,5,RMB,53,,2301,MPTJ,OUT,昆山杰士德,1190,63
MPSH,3,20220105,20211227,OUT,BITPASS,8000,121859300,SFC-050DA2-14B-18B,1,RMB,101,,2301,MPTJ,OUT,上海联泰,1190,64
