Code,Group,Posted Date,Invoice Date,ETD,ANA-4,Customer Code,Customer Group4(Industry Code)(Sub-Ledger),Item Code,Item Name,Qty,Currency,Price.,Exchange Rate,Amount (Transaction) (HKD),Cost(HKD),Group 5(Item),ANA-2,Location,Spec. Customer (Transaction),Industry Code (Transaction),
MPHK,3,20220112,20220107,,OUT,HIMALAYA-C,8000,128244900,GEARED MOTOR: RWM-04-50-20-IE1,4,USD,447.3000 ,7.8000000 ,"13,955.76 ","8,439.89 ",3103,MPJP,IN,,,
MPHK,3,20220112,20220107,,OUT,HIMALAYA-C,8000,103539500,CLUTCH: 546-15-34-LS 24V20 JIS,10,USD,384.1000 ,7.8000000 ,"29,959.80 ","24,277.36 ",1501,MPJP,IN,INDOFOOD,1800,
MPHK,3,20220112,20220107,,OUT,HIMALAYA-C,8000,103537800,CLUTCH: 546-15-34-RS 24V20 JIS,10,USD,384.1000 ,7.8000000 ,"29,959.80 ","24,277.36 ",1501,MPJP,IN,INDOFOOD,1800,
MPHK,3,20220112,20220107,,OUT,HIMALAYA-C,8000,103538100,CLUTCH: 546-15-34-RS 24V25 JIS,3,USD,435.1000 ,7.8000000 ,"10,181.34 ","7,297.28 ",1501,MPJP,IN,,,
MPHK,3,20220112,20220107,,OUT,HIMALAYA-C,8000,131162800,BRAKE: BXH-10-10-A-91,2,USD,91.0000 ,7.8000000 ,"1,419.60 ",808.38 ,1401,MPJP,IN,,,
MPHK,3,20220112,20220107,,OUT,HIMALAYA-C,8000,121843200,COUPLING: SFC-040SA2-14B-19B,1,USD,20.6000 ,7.8000000 ,160.68 ,87.31 ,2301,MPJP,IN,,,
MPHK,3,20220112,20220107,,OUT,HIMALAYA-C,8000,123172000,COUPLING PART: ALS-040-Y-EL,3,USD,1.8000 ,7.8000000 ,42.12 ,30.19 ,2202,MPJP,IN,,,
MPHK,3,20220112,20220107,,OUT,HIMALAYA-C,8000,123102400,COUPLING PART: ALS-040-R-EL,3,USD,1.8000 ,7.8000000 ,42.12 ,30.19 ,2202,MPJP,IN,,,
MPHK,3,20220112,20220107,,OUT,HIMALAYA-C,8000,028021400,COUPLING: ARM-075 6-6,10,USD,13.9000 ,7.8000000 ,"1,084.20 ",671.16 ,2501,MPJP,IN,,,
MPHK,3,20220112,20220107,,OUT,HIMALAYA-C,8000,104948600,COUPLING: MM-14K,10,USD,41.4000 ,7.8000000 ,"3,229.20 ","1,897.20 ",2502,MPJP,IN,PT.KARYA,0900,
MPHK,3,20220112,20220107,,OUT,HIMALAYA-C,8000,071081100,COUPLING: AL-075,10,USD,6.0000 ,7.8000000 ,468.00 ,276.08 ,2201,MPJP,IN,,,
MPHK,3,20220112,20220107,,OUT,HIMALAYA-C,8000,121584100,POWER SUPPLY: BEM-2T 120L,10,USD,6.1000 ,7.8000000 ,475.80 ,96.56 ,1901,MPJP,IN,,,
