据点ID,区分,受注日期,客户希望纳期,销售GPR内外,英文顾客,顧客業種C,规格型号,产品名称,注残数量,货币,不含税价格,成本金额,中分类C,供应商名称,供应商集团内外,终端用户英文,终端用户行业C
MPTJ,1,20211227,20220117,IN,MIKIPULLEY(SHANG HAI),9800,,BXW-02-10-52,5,RMB,314,,1201,,,MIKIPULLEY(SHANG HAI),9800
MPTJ,1,20211227,20220107,IN,MIKIPULLEY(SHANG HAI),9800,,AK-185-MAT-28N,2,RMB,369,,3101,,,MIKIPULLEY(SHANG HAI),9800
MPTJ,1,20211227,20220107,IN,MIKIPULLEY(SHANG HAI),9800,16B-16B,SFC-060DA2,10,RMB,149.45,,2301,,,MIKIPULLEY(SHANG HAI),9800
MPTJ,1,20211227,20220104,IN,MIKIPULLEY(SHANG HAI),9800,16B-16B,SFC-050SA2,1,RMB,56.25,,2301,,,MIKIPULLEY(SHANG HAI),9800
MPTJ,1,20211227,20220110,IN,MIKIPULLEY(SHANG HAI),9800,6B-6B,SFC-010SA2,20,RMB,33.66,,2301,,,MIKIPULLEY(SHANG HAI),9800
MPTJ,1,20211227,20220107,IN,MIKIPULLEY(SHANG HAI),9800,35BHA-40BHA,ALS-095ARN,1,RMB,194,,2202,,,MIKIPULLEY(SHANG HAI),9800
MPTJ,1,20211227,20220107,IN,MIKIPULLEY(SHANG HAI),9800,40BHA-40BHA,ALS-095ARN,1,RMB,194,,2202,,,MIKIPULLEY(SHANG HAI),9800
MPTJ,1,20211227,20220104,IN,MIKIPULLEY(SHANG HAI),9800,19BHA-22BHA,ALS-065ARN,3,RMB,97,,2202,,,MIKIPULLEY(SHANG HAI),9800
MPTJ,1,20211227,20220104,IN,MIKIPULLEY(SHANG HAI),9800,14BHA-14BHA,ALS-040ARN,6,RMB,41,,2202,,,MIKIPULLEY(SHANG HAI),9800
MPTJ,1,20211227,20211231,IN,MIKIPULLEY(SHANG HAI),9800,11B-14B,SFC-025DA2,8,RMB,49.12,,2301,,,MIKIPULLEY(SHANG HAI),9800
MPTJ,1,20211227,20220117,IN,MIKIPULLEY(SHANG HAI),9800,10B-10B,SFC-030SA2,5,RMB,74,,2301,,,MIKIPULLEY(SHANG HAI),9800
MPTJ,1,20211227,20220117,IN,MIKIPULLEY(SHANG HAI),9800,10BHA-10BHA,ALS-030ARN,5,RMB,32,,2202,,,MIKIPULLEY(SHANG HAI),9800
MPTJ,1,20211227,20220114,IN,MIKIPULLEY(SHANG HAI),9800,4.5B-8B,SFC-010DA2,6,RMB,96,,2301,,,MIKIPULLEY(SHANG HAI),9800
MPTJ,1,20211227,20211231,IN,MIKIPULLEY(SHANG HAI),9800,12B-19B,SFC-040SA2,99,RMB,41.25,,2301,,,MIKIPULLEY(SHANG HAI),9800
MPTJ,1,20211227,20211231,IN,MIKIPULLEY(SHANG HAI),9800,12B-19B,SFC-040DA2,43,RMB,57.27,,2301,,,MIKIPULLEY(SHANG HAI),9800
MPTJ,1,20211227,20220228,IN,MIKIPULLEY(SHANG HAI),9800,18B-18B,SFC-050SA2,40,RMB,125,,2301,,,MIKIPULLEY(SHANG HAI),9800
MPTJ,1,20211227,20220228,IN,MIKIPULLEY(SHANG HAI),9800,12B-18B,SFC-035SA2,40,RMB,77,,2301,,,MIKIPULLEY(SHANG HAI),9800
MPTJ,1,20211227,20220110,IN,MIKIPULLEY(SHANG HAI),9800,8B-8B,SFC-030SA2,120,RMB,49,,2301,,,MIKIPULLEY(SHANG HAI),9800
MPTJ,1,20211227,20220225,IN,MIKIPULLEY(SHANG HAI),9800,25B-25BH,SFC-060SA2,2,RMB,216.96,,2301,,,MIKIPULLEY(SHANG HAI),9800
MPTJ,1,20211227,20220225,IN,MIKIPULLEY(SHANG HAI),9800,24BH-25B,SFC-060SA2,6,RMB,216.96,,2301,,,MIKIPULLEY(SHANG HAI),9800
MPTJ,1,20211227,20220124,IN,MIKIPULLEY(SHANG HAI),9800,123146100,PSL-G-32,1,RMB,54,,2602,,,MIKIPULLEY(SHANG HAI),9800
