据点ID,区分,出货日期,客户希望纳期,销售GPR内外,英文顾客,顧客業種C,规格型号,产品名称,数量,货币,不含税价格,成本金额,中分类C,供应商名称,供应商集团内外,终端用户英文,终端用户行业C
MPTJ,3,20211227,20211227,IN,MIKIPULLEY(SHANG HAI),9800,14B-19B,SFC-035DA2,5,RMB,53.51,,2301,,,MIKIPULLEY(SHANG HAI),9800
MPTJ,3,20211227,20211230,IN,MIKIPULLEY(SHANG HAI),9800,8B-10B,SFC-030SA2,2,RMB,35.01,,2301,,,MIKIPULLEY(SHANG HAI),9800
MPTJ,3,20211227,20211225,IN,MIKIPULLEY(SHANG HAI),9800,25B-28B,SFC-060DA2,2,RMB,224,,2301,,,MIKIPULLEY(SHANG HAI),9800
MPTJ,3,20211227,20211227,IN,MIKIPULLEY(SHANG HAI),9800,16B-16B,SFC-050SA2,8,RMB,125,,2301,,,MIKIPULLEY(SHANG HAI),9800
MPTJ,3,20211227,20211227,IN,MIKIPULLEY(SHANG HAI),9800,16B-16B,SFC-050SA2,24,RMB,125,,2301,,,MIKIPULLEY(SHANG HAI),9800
MPTJ,3,20211227,20220104,IN,MIKIPULLEY(SHANG HAI),9800,,BXR-09-20-A-22,540,RMB,232.4,,1401,,,MIKIPULLEY(SHANG HAI),9800
MPTJ,3,20211227,20220104,IN,MIKIPULLEY(SHANG HAI),9800,,BXR-13-20-A-22,270,RMB,337.9,,1401,,,MIKIPULLEY(SHANG HAI),9800
MPTJ,3,20211227,20220107,IN,MIKIPULLEY(SHANG HAI),9800,,BXR-13-20-A-22,270,RMB,337.9,,1401,,,MIKIPULLEY(SHANG HAI),9800
MPTJ,3,20211227,20220111,IN,MIKIPULLEY(SHANG HAI),9800,,BXR-09-20-A-22,540,RMB,232.4,,1401,,,MIKIPULLEY(SHANG HAI),9800
MPTJ,3,20211227,20220111,IN,MIKIPULLEY(SHANG HAI),9800,,BXR-13-20-A-22,540,RMB,337.9,,1401,,,MIKIPULLEY(SHANG HAI),9800
MPTJ,3,20211227,20211225,IN,MIKIPULLEY(SHANG HAI),9800,35K-45K,SFF-100DS,2,RMB,432,,2302,,,MIKIPULLEY(SHANG HAI),9800
MPTJ,3,20211227,20211227,IN,MIKIPULLEY(SHANG HAI),9800,8B-14B,SFC-030DA2,14,RMB,49.46,,2301,,,MIKIPULLEY(SHANG HAI),9800
MPTJ,3,20211227,20211227,IN,MIKIPULLEY(SHANG HAI),9800,22BHA-32BHA,ALS-065ARN,10,RMB,97,,2202,,,MIKIPULLEY(SHANG HAI),9800
MPTJ,3,20211227,20211227,IN,MIKIPULLEY(SHANG HAI),9800,35BHA-45BHA,ALS-080ARN,7,RMB,150,,2202,,,MIKIPULLEY(SHANG HAI),9800
MPTJ,3,20211227,20211227,IN,MIKIPULLEY(SHANG HAI),9800,14B-20B,SFC-040SA2,5,RMB,41.25,,2301,,,MIKIPULLEY(SHANG HAI),9800
MPTJ,3,20211227,20211227,IN,MIKIPULLEY(SHANG HAI),9800,14B-20B,SFC-040SA2,5,RMB,41.25,,2301,,,MIKIPULLEY(SHANG HAI),9800
MPTJ,3,20211227,20211227,IN,MIKIPULLEY(SHANG HAI),9800,14B-18B,SFC-050DA2,1,RMB,77.4,,2301,,,MIKIPULLEY(SHANG HAI),9800
MPTJ,3,20211227,20211220,IN,MIKIPULLEY(SHANG HAI),9800,24V-14D,BXH-08-10N-01,1500,RMB,162,,1401,,,MIKIPULLEY(SHANG HAI),9800
MPTJ,3,20211227,20211227,IN,MIKIPULLEY(SHANG HAI),9800,8B-10B,SFC-020DA2,6,RMB,87,,2301,,,MIKIPULLEY(SHANG HAI),9800
MPTJ,3,20211227,20211227,IN,MIKIPULLEY(SHANG HAI),9800,8B-10B,SFC-025DA2,6,RMB,91,,2301,,,MIKIPULLEY(SHANG HAI),9800
MPTJ,3,20211227,20211227,IN,MIKIPULLEY(SHANG HAI),9800,22B-35B,SFC-080DA2,1,RMB,287,,2301,,,MIKIPULLEY(SHANG HAI),9800
MPTJ,3,20211227,20211227,IN,MIKIPULLEY(SHANG HAI),9800,12B-14B,SFC-035DA2,5,RMB,105,,2301,,,MIKIPULLEY(SHANG HAI),9800
MPTJ,3,20211227,20211227,IN,MIKIPULLEY(SHANG HAI),9800,12B-19B,SFC-040DA2,5,RMB,121,,2301,,,MIKIPULLEY(SHANG HAI),9800
MPTJ,3,20211227,20211227,IN,MIKIPULLEY(SHANG HAI),9800,6B-8B,SFC-010DA2,5,RMB,96,,2301,,,MIKIPULLEY(SHANG HAI),9800
MPTJ,3,20211227,20211227,IN,MIKIPULLEY(SHANG HAI),9800,24V,111-08-13G,2,RMB,142,,1301,,,MIKIPULLEY(SHANG HAI),9800
MPTJ,3,20211227,20211227,IN,MIKIPULLEY(SHANG HAI),9800,16B-24B,SFC-050SA2,2,RMB,125,,2301,,,MIKIPULLEY(SHANG HAI),9800
MPTJ,3,20211227,20211227,IN,MIKIPULLEY(SHANG HAI),9800,24V R25JIS A25JIS,CS-12-35G,8,RMB,580,,1301,,,MIKIPULLEY(SHANG HAI),9800
MPTJ,3,20211227,20211227,IN,MIKIPULLEY(SHANG HAI),9800,24V 25JIS,111-12-11G,7,RMB,298,,1301,,,MIKIPULLEY(SHANG HAI),9800
MPTJ,3,20211227,20211227,IN,MIKIPULLEY(SHANG HAI),9800,24V 25JIS,111-10-11N,8,RMB,174,,1301,,,MIKIPULLEY(SHANG HAI),9800
MPTJ,3,20211227,20211227,IN,MIKIPULLEY(SHANG HAI),9800,24V 25JIS,111-12-11N,10,RMB,228,,1301,,,MIKIPULLEY(SHANG HAI),9800
MPTJ,3,20211227,20211227,IN,MIKIPULLEY(SHANG HAI),9800,,AP-98-MAT-14H,1,RMB,186,,3101,,,MIKIPULLEY(SHANG HAI),9800
MPTJ,3,20211227,20211227,IN,MIKIPULLEY(SHANG HAI),9800,,P-98-MAT-16H,1,RMB,117,,3101,,,MIKIPULLEY(SHANG HAI),9800
MPTJ,3,20211227,20211223,IN,MIKIPULLEY(SHANG HAI),9800,,AP-98-MAT-14H,2,RMB,186,,3101,,,MIKIPULLEY(SHANG HAI),9800
MPTJ,3,20211227,20211223,IN,MIKIPULLEY(SHANG HAI),9800,,P-98-MAT-14H,2,RMB,117,,3101,,,MIKIPULLEY(SHANG HAI),9800
MPTJ,3,20211227,20211227,IN,MIKIPULLEY(SHANG HAI),9800,24V 25DIN,CS-12-33N,16,RMB,289,,1301,,,MIKIPULLEY(SHANG HAI),9800
MPTJ,3,20211227,20211227,IN,MIKIPULLEY(SHANG HAI),9800,24V 25DIN,111-10-11N,16,RMB,174,,1301,,,MIKIPULLEY(SHANG HAI),9800
MPTJ,3,20211227,20220103,IN,MIKIPULLEY(SHANG HAI),9800,24V 25JIS N44,101-10-13G,2,RMB,190,,1301,,,MIKIPULLEY(SHANG HAI),9800
MPTJ,3,20211227,20211227,IN,MIKIPULLEY(SHANG HAI),9800,123142000,PSL-D-19,2,RMB,174,,2602,,,MIKIPULLEY(SHANG HAI),9800
