据点ID,区分,受注日期,客户希望纳期,销售GPR内外,英文顾客,顧客業種C,规格型号,产品名称,注残数量,货币,不含税价格,成本金额,中分类C,供应商名称,供应商集团内外,终端用户英文,终端用户行业C
MPTJ,2,20211227,20211128,IN,MIKIPULLEY(TAI WAN),9800,TRS-ALL-001H-00,说明书(CB无励磁出货韩国时，不放说明书),100000,RMB,0.0638,,2301,其他,OUT,MIKIPULLEY(TAI WAN),9800
MPTJ,2,20211227,20220105,IN,MIKIPULLEY(SHANG HAI),9800,,P-106-MA-19-28KG,42,RMB,135,,3101,,,MIKIPULLEY(SHANG HAI),9800
MPTJ,2,20211227,20211216,IN,MIKIPULLEY(SHANG HAI),9800,,P-124-MA-18,10,RMB,186,,3101,,,MIKIPULLEY(SHANG HAI),9800
MPTJ,2,20211227,20220106,IN,MIKIPULLEY(SHANG HAI),9800,,P-124-MA-18,1,RMB,186,,3101,,,MIKIPULLEY(SHANG HAI),9800
MPTJ,2,20211227,20211217,IN,MIKIPULLEY(TAI WAN),9800,,AP-98-MA-16,1,RMB,219.3876,,3101,,,MIKIPULLEY(TAI WAN),9800
MPTJ,2,20211227,20211220,IN,MIKIPULLEY(JAPAN),9800,110028500,AK-155-MA-24N,68,RMB,315.4613,,3101,,,MIKIPULLEY(JAPAN),9800
MPTJ,2,20211227,20220107,IN,MIKIPULLEY(JAPAN),9800,110028500,AK-155-MA-24N,20,RMB,315.4613,,3101,,,MIKIPULLEY(JAPAN),9800
MPTJ,2,20211227,20211213,IN,MIKIPULLEY(HONG KONG),9800,,P-164-MA-24,2,RMB,230,,3101,,,MIKIPULLEY(HONG KONG),9800
MPTJ,2,20211227,20211224,IN,MIKIPULLEY(TAI WAN),9800,,AP-124-MA-19,3,RMB,335.684,,3101,,,MIKIPULLEY(TAI WAN),9800
MPTJ,2,20211227,20211216,IN,MIKIPULLEY(SHANG HAI),9800,,AP-124-MA-19,8,RMB,318,,3101,,,MIKIPULLEY(SHANG HAI),9800
MPTJ,2,20211227,20211224,IN,MIKIPULLEY(TAI WAN),9800,,AP-124-MA-24,6,RMB,335.684,,3101,,,MIKIPULLEY(TAI WAN),9800
MPTJ,2,20211227,20220110,IN,MIKIPULLEY(HONG KONG),9800,,AP-86-MA-14,3,RMB,165,,3101,,,MIKIPULLEY(HONG KONG),9800
MPTJ,2,20211227,20211214,IN,MIKIPULLEY(KOREA),9800,,AP-86-MA-14,20,RMB,214.2203,,3101,,,MIKIPULLEY(KOREA),9800
MPTJ,2,20211227,20220301,IN,MIKIPULLEY(KOREA),9800,,AP-86-MA-14,20,RMB,214.2203,,3101,,,MIKIPULLEY(KOREA),9800
MPTJ,2,20211227,20220106,IN,MIKIPULLEY(SHANG HAI),9800,,P-86-MA-14,1,RMB,131,,3101,,,MIKIPULLEY(SHANG HAI),9800
MPTJ,2,20211227,20211214,IN,MIKIPULLEY(KOREA),9800,,P-86-MA-14,20,RMB,153.8073,,3101,,,MIKIPULLEY(KOREA),9800
MPTJ,2,20211227,20220301,IN,MIKIPULLEY(KOREA),9800,,P-86-MA-14,15,RMB,153.8073,,3101,,,MIKIPULLEY(KOREA),9800
MPTJ,2,20211227,20211224,IN,MIKIPULLEY(TAI WAN),9800,,P-124-MA-19,3,RMB,265.4468,,3101,,,MIKIPULLEY(TAI WAN),9800
MPTJ,2,20211227,20220107,IN,MIKIPULLEY(HONG KONG),9800,,AK-185-MAT-28N,4,RMB,308,,3101,,,MIKIPULLEY(HONG KONG),9800
MPTJ,2,20211227,20220107,IN,MIKIPULLEY(SHANG HAI),9800,,AK-185-MAT-28N,2,RMB,369,,3101,,,MIKIPULLEY(SHANG HAI),9800
MPTJ,2,20211227,20220105,IN,MIKIPULLEY(SHANG HAI),9800,,AK-185-MAT-28N,10,RMB,369,,3101,,,MIKIPULLEY(SHANG HAI),9800
MPTJ,2,20211227,20220214,IN,MIKIPULLEY(HONG KONG),9800,,AP-98-MA-19,3,RMB,167,,3101,,,MIKIPULLEY(HONG KONG),9800
MPTJ,2,20211227,20211220,IN,MIKIPULLEY(JAPAN),9800,071055700,PE-155-MA-18H,88,RMB,265.8934,,3101,,,MIKIPULLEY(JAPAN),9800
MPTJ,2,20211227,20220107,IN,MIKIPULLEY(JAPAN),9800,071055700,PE-155-MA-18H,16,RMB,265.8934,,3101,,,MIKIPULLEY(JAPAN),9800
MPTJ,2,20211227,20220107,IN,MIKIPULLEY(JAPAN),9800,110026400,P-106-MA,15,RMB,138.5606,,3101,,,MIKIPULLEY(JAPAN),9800
MPTJ,2,20211227,20211217,IN,MIKIPULLEY(TAI WAN),9800,,AP-98-MA-15,1,RMB,219.3876,,3101,,,MIKIPULLEY(TAI WAN),9800
MPTJ,2,20211227,20220107,IN,MIKIPULLEY(HONG KONG),9800,,P-98-MA-15,1,RMB,130,,3101,,,MIKIPULLEY(HONG KONG),9800
MPTJ,2,20211227,20220107,IN,MIKIPULLEY(HONG KONG),9800,,AP-86-MA-11,3,RMB,165,,3101,,,MIKIPULLEY(HONG KONG),9800
MPTJ,2,20211227,20211202,IN,MIKIPULLEY(HONG KONG),9800,,AP-86-MA-11,3,RMB,165,,3101,,,MIKIPULLEY(HONG KONG),9800
MPTJ,2,20211227,20211202,IN,MIKIPULLEY(HONG KONG),9800,,PE-155-MAT-18H,7,RMB,225,,3101,,,MIKIPULLEY(HONG KONG),9800
MPTJ,2,20211227,20220107,IN,MIKIPULLEY(HONG KONG),9800,,PE-155-MAT-18H,5,RMB,225,,3101,,,MIKIPULLEY(HONG KONG),9800
MPTJ,2,20211227,20220110,IN,MIKIPULLEY(JAPAN),9800,P-98-A,弹簧套大(喷漆),20,RMB,9.6967,,3101,,,MIKIPULLEY(JAPAN),9800
MPTJ,2,20211227,20211103,IN,MIKIPULLEY(HONG KONG),9800,,PE-185-MAT-22H,7,RMB,293,,3101,,,MIKIPULLEY(HONG KONG),9800
MPTJ,2,20211227,20211201,IN,MIKIPULLEY(HONG KONG),9800,,PE-185-MAT-22H,20,RMB,293,,3101,,,MIKIPULLEY(HONG KONG),9800
MPTJ,2,20211227,20211208,IN,MIKIPULLEY(HONG KONG),9800,,AK-124-MAT-19N,150,RMB,197,,3101,,,MIKIPULLEY(HONG KONG),9800
MPTJ,2,20211227,20220214,IN,MIKIPULLEY(HONG KONG),9800,,P-98-MA-19,5,RMB,130,,3101,,,MIKIPULLEY(HONG KONG),9800
MPTJ,2,20211227,20220105,IN,MIKIPULLEY(SHANG HAI),9800,,PE-155-MAT-20H,20,RMB,235,,3101,,,MIKIPULLEY(SHANG HAI),9800
MPTJ,2,20211227,20220301,IN,MIKIPULLEY(KOREA),9800,,PE-155-MAT-20H,30,RMB,273.7401,,3101,,,MIKIPULLEY(KOREA),9800
MPTJ,2,20211227,20220301,IN,MIKIPULLEY(KOREA),9800,,PE-155-MAT-20H,30,RMB,273.7401,,3101,,,MIKIPULLEY(KOREA),9800
MPTJ,2,20211227,20220107,IN,MIKIPULLEY(JAPAN),9800,110026600,P-124-MA,30,RMB,174.2852,,3101,,,MIKIPULLEY(JAPAN),9800
MPTJ,2,20211227,20211220,IN,MIKIPULLEY(JAPAN),9800,110026600,P-124-MA,60,RMB,174.2852,,3101,,,MIKIPULLEY(JAPAN),9800
MPTJ,2,20211227,20220104,IN,MIKIPULLEY(SHANG HAI),9800,,AK-216-MAT-28N,1,RMB,464,,3101,,,MIKIPULLEY(SHANG HAI),9800
MPTJ,2,20211227,20220107,IN,MIKIPULLEY(HONG KONG),9800,,AK-140-MAT-24N,2,RMB,215,,3101,,,MIKIPULLEY(HONG KONG),9800
MPTJ,2,20211227,20220302,IN,MIKIPULLEY(SHANG HAI),9800,,PE-185-MAT-25H,20,RMB,259,,3101,,,MIKIPULLEY(SHANG HAI),9800
MPTJ,2,20211227,20211220,IN,MIKIPULLEY(JAPAN),9800,110026200,P-86-MA,68,RMB,114.893,,3101,,,MIKIPULLEY(JAPAN),9800
MPTJ,2,20211227,20211201,IN,MIKIPULLEY(HONG KONG),9800,,AK-155-MAT-24N,20,RMB,232,,3101,,,MIKIPULLEY(HONG KONG),9800
MPTJ,2,20211227,20220301,IN,MIKIPULLEY(KOREA),9800,,AK-140-MAT-24K,30,RMB,246.6276,,3101,,,MIKIPULLEY(KOREA),9800
MPTJ,2,20211227,20220301,IN,MIKIPULLEY(KOREA),9800,,AK-140-MAT-24K,30,RMB,246.6276,,3101,,,MIKIPULLEY(KOREA),9800
MPTJ,2,20211227,20220107,IN,MIKIPULLEY(JAPAN),9800,110028600,AK-185-MA-28N,12,RMB,408.2178,,3101,,,MIKIPULLEY(JAPAN),9800
MPTJ,2,20211227,20220105,IN,MIKIPULLEY(SHANG HAI),9800,,AK-124-MAT-14K,5,RMB,218,,3101,,,MIKIPULLEY(SHANG HAI),9800
MPTJ,2,20211227,20211103,IN,MIKIPULLEY(HONG KONG),9800,,AK-140-MAT-19N,5,RMB,211,,3101,,,MIKIPULLEY(HONG KONG),9800
MPTJ,2,20211227,20220107,IN,MIKIPULLEY(JAPAN),9800,110027300,AP-98-MA,11,RMB,242.8638,,3101,,,MIKIPULLEY(JAPAN),9800
MPTJ,2,20211227,20211220,IN,MIKIPULLEY(JAPAN),9800,110027300,AP-98-MA,176,RMB,242.8638,,3101,,,MIKIPULLEY(JAPAN),9800
MPTJ,2,20211227,20211220,IN,MIKIPULLEY(JAPAN),9800,110026300,P-98-MA,115,RMB,131.0329,,3101,,,MIKIPULLEY(JAPAN),9800
MPTJ,2,20211227,20220107,IN,MIKIPULLEY(JAPAN),9800,110026300,P-98-MA,60,RMB,131.0329,,3101,,,MIKIPULLEY(JAPAN),9800
MPTJ,2,20211227,20220107,IN,MIKIPULLEY(JAPAN),9800,110027000,AP-86-MA,44,RMB,234.443,,3101,,,MIKIPULLEY(JAPAN),9800
MPTJ,2,20211227,20211220,IN,MIKIPULLEY(JAPAN),9800,110027000,AP-86-MA,93,RMB,234.443,,3101,,,MIKIPULLEY(JAPAN),9800
MPTJ,2,20211227,20220105,IN,MIKIPULLEY(SHANG HAI),9800,,PE-124-MAT-15K,5,RMB,173,,3101,,,MIKIPULLEY(SHANG HAI),9800
MPTJ,2,20211227,20220106,IN,MIKIPULLEY(SHANG HAI),9800,,AP-98-MA-14,1,RMB,235,,3101,,,MIKIPULLEY(SHANG HAI),9800
MPTJ,2,20211227,20220107,IN,MIKIPULLEY(HONG KONG),9800,,AP-98-MA-14,3,RMB,167,,3101,,,MIKIPULLEY(HONG KONG),9800
MPTJ,2,20211227,20220302,IN,MIKIPULLEY(SHANG HAI),9800,,AK-155-MAB-28N,20,RMB,203,,3101,,,MIKIPULLEY(SHANG HAI),9800
MPTJ,2,20211227,20211220,IN,MIKIPULLEY(JAPAN),9800,110029200,PE-106-MA-12H,30,RMB,146.3434,,3101,,,MIKIPULLEY(JAPAN),9800
MPTJ,2,20211227,20220107,IN,MIKIPULLEY(JAPAN),9800,110029200,PE-106-MA-12H,15,RMB,146.3434,,3101,,,MIKIPULLEY(JAPAN),9800
MPTJ,2,20211227,20220107,IN,MIKIPULLEY(JAPAN),9800,071055800,PE-185-MA-22H,15,RMB,331.665,,3101,,,MIKIPULLEY(JAPAN),9800
MPTJ,2,20211227,20220105,IN,MIKIPULLEY(SHANG HAI),9800,,PE-124-MAT-15H,1,RMB,173,,3101,,,MIKIPULLEY(SHANG HAI),9800
MPTJ,2,20211227,20211208,IN,MIKIPULLEY(HONG KONG),9800,,PE-124-MAT-15H,170,RMB,159,,3101,,,MIKIPULLEY(HONG KONG),9800
MPTJ,2,20211227,20220124,IN,MIKIPULLEY(JAPAN),9800,AK-90-A,刻度板垫,400,RMB,2.169,,3101,其他,OUT,MIKIPULLEY(JAPAN),9800
MPTJ,2,20211227,20220124,IN,MIKIPULLEY(JAPAN),9800,AK-90-A,刻度板垫,500,RMB,2.169,,3101,其他,OUT,MIKIPULLEY(JAPAN),9800
MPTJ,2,20211227,20220107,IN,MIKIPULLEY(JAPAN),9800,BXR-09-20-A-22,平板,1000,RMB,12.5674,,1401,其他,OUT,MIKIPULLEY(JAPAN),9800
MPTJ,2,20211227,20220214,IN,MIKIPULLEY(JAPAN),9800,BXR-09-20-A-22,平板,1000,RMB,12.5674,,1401,其他,OUT,MIKIPULLEY(JAPAN),9800
MPTJ,2,20211227,20220318,IN,MIKIPULLEY(JAPAN),9800,BXR-09-20-A-22,平板,2000,RMB,12.5674,,1401,其他,OUT,MIKIPULLEY(JAPAN),9800
MPTJ,2,20211227,20220107,IN,MIKIPULLEY(JAPAN),9800,BXR-09-20-A-22,电枢,1000,RMB,12.6312,,1401,其他,OUT,MIKIPULLEY(JAPAN),9800
MPTJ,2,20211227,20220214,IN,MIKIPULLEY(JAPAN),9800,BXR-09-20-A-22,电枢,1000,RMB,12.6312,,1401,其他,OUT,MIKIPULLEY(JAPAN),9800
MPTJ,2,20211227,20220318,IN,MIKIPULLEY(JAPAN),9800,BXR-09-20-A-22,电枢,2000,RMB,12.6312,,1401,其他,OUT,MIKIPULLEY(JAPAN),9800
MPTJ,2,20211227,20220107,IN,MIKIPULLEY(JAPAN),9800,BXR-13-20-A-22,平板,1000,RMB,23.6676,,1401,其他,OUT,MIKIPULLEY(JAPAN),9800
MPTJ,2,20211227,20220318,IN,MIKIPULLEY(JAPAN),9800,BXR-13-20-A-22,平板,4000,RMB,23.6676,,1401,其他,OUT,MIKIPULLEY(JAPAN),9800
MPTJ,2,20211227,20220318,IN,MIKIPULLEY(JAPAN),9800,BXR-13-20-A-22,电枢,4000,RMB,32.4074,,1401,其他,OUT,MIKIPULLEY(JAPAN),9800
MPTJ,2,20211227,20220107,IN,MIKIPULLEY(JAPAN),9800,BXR-13-20-A-22,电枢,1000,RMB,32.4074,,1401,其他,OUT,MIKIPULLEY(JAPAN),9800
MPTJ,2,20211227,20220214,IN,MIKIPULLEY(HONG KONG),9800,,125-08-12E,4,RMB,769,,1302,,,MIKIPULLEY(HONG KONG),9800
MPTJ,2,20211227,20220105,IN,MIKIPULLEY(SHANG HAI),9800,24V 15DIN,111-08-11N,1,RMB,130,,1301,,,MIKIPULLEY(SHANG HAI),9800
MPTJ,2,20211227,20220110,IN,MIKIPULLEY(JAPAN),9800,111-10-11G,定子本体,200,RMB,41.0833,,1301,,,MIKIPULLEY(JAPAN),9800
MPTJ,2,20211227,20210809,IN,MIKIPULLEY(JAPAN),9800,BEM-4T 240L,BEM电源,500,RMB,32.8539,,1901,,,MIKIPULLEY(JAPAN),9800
MPTJ,2,20211227,20211108,IN,MIKIPULLEY(JAPAN),9800,BEM-4T 240L,BEM电源,500,RMB,32.8539,,1901,,,MIKIPULLEY(JAPAN),9800
MPTJ,2,20211227,20211217,IN,MIKIPULLEY(TAI WAN),9800,24V 15JIS,111-06-11G,22,RMB,161.8454,,1301,,,MIKIPULLEY(TAI WAN),9800
MPTJ,2,20211227,20220214,IN,MIKIPULLEY(HONG KONG),9800,24V 15JIS,111-06-12G,20,RMB,134,,1301,,,MIKIPULLEY(HONG KONG),9800
MPTJ,2,20211227,20211230,IN,MIKIPULLEY(SHANG HAI),9800,24V 15JIS,101-08-13N,15,RMB,129,,1301,,,MIKIPULLEY(SHANG HAI),9800
MPTJ,2,20211227,20220105,IN,MIKIPULLEY(SHANG HAI),9800,24V 25JIS,101-12-13N,1,RMB,243,,1301,,,MIKIPULLEY(SHANG HAI),9800
MPTJ,2,20211227,20220108,IN,MIKIPULLEY(SHANG HAI),9800,,125-08-12N,30,RMB,761,,1302,,,MIKIPULLEY(SHANG HAI),9800
MPTJ,2,20211227,20211220,IN,MIKIPULLEY(JAPAN),9800,CS-10-33G,定子本体,100,RMB,45.8679,,1301,,,MIKIPULLEY(JAPAN),9800
MPTJ,2,20211227,20220110,IN,MIKIPULLEY(JAPAN),9800,CS-10-33G,定子本体,150,RMB,45.8679,,1301,,,MIKIPULLEY(JAPAN),9800
MPTJ,2,20211227,20210913,IN,MIKIPULLEY(JAPAN),9800,BEW-4R,BEM电源,30,RMB,69.7268,,1901,,,MIKIPULLEY(JAPAN),9800
MPTJ,2,20211227,20220110,IN,MIKIPULLEY(JAPAN),9800,CS-16-33G,定子本体,70,RMB,136.7743,,1301,,,MIKIPULLEY(JAPAN),9800
MPTJ,2,20211227,20210502,IN,MIKIPULLEY(TAI WAN),9800,BEM-4T-A-2,BEM电源,1000,RMB,33.4281,,1901,,,MIKIPULLEY(TAI WAN),9800
MPTJ,2,20211227,20211021,IN,MIKIPULLEY(TAI WAN),9800,BEM-4T-A-2,BEM电源,9000,RMB,33.4281,,1901,,,MIKIPULLEY(TAI WAN),9800
MPTJ,2,20211227,20211006,IN,MIKIPULLEY(TAI WAN),9800,BEM-4T-A-2,BEM电源,2000,RMB,33.4281,,1901,,,MIKIPULLEY(TAI WAN),9800
MPTJ,2,20211227,20220121,IN,MIKIPULLEY(SHANG HAI),9800,90V-25D,BXL-12-10N-05,12,RMB,332,,1401,,,MIKIPULLEY(SHANG HAI),9800
MPTJ,2,20211227,20211229,IN,MIKIPULLEY(SHANG HAI),9800,24V,111-10-13N,10,RMB,137,,1301,,,MIKIPULLEY(SHANG HAI),9800
MPTJ,2,20211227,20220105,IN,MIKIPULLEY(SHANG HAI),9800,24V,111-12-13N,1,RMB,187,,1301,,,MIKIPULLEY(SHANG HAI),9800
MPTJ,2,20211227,20220121,IN,MIKIPULLEY(SHANG HAI),9800,90V-28D,BXL-16-10N-12,12,RMB,483,,1401,,,MIKIPULLEY(SHANG HAI),9800
MPTJ,2,20211227,20220115,IN,MIKIPULLEY(SHANG HAI),9800,24V R15DIN A15DIN,CS-08-31N,1,RMB,210,,1301,,,MIKIPULLEY(SHANG HAI),9800
MPTJ,2,20211227,20211210,IN,MIKIPULLEY(JAPAN),9800,BEM-2T 240L,BEM电源,2000,RMB,31.578,,1901,,,MIKIPULLEY(JAPAN),9800
MPTJ,2,20211227,20220107,IN,MIKIPULLEY(JAPAN),9800,BEM-2T 240L,BEM电源,2000,RMB,31.578,,1901,,,MIKIPULLEY(JAPAN),9800
MPTJ,2,20211227,20220310,IN,MIKIPULLEY(JAPAN),9800,BEM-2T 240L,BEM电源,2000,RMB,31.578,,1901,,,MIKIPULLEY(JAPAN),9800
MPTJ,2,20211227,20220408,IN,MIKIPULLEY(JAPAN),9800,BEM-2T 240L,BEM电源,2000,RMB,31.578,,1901,,,MIKIPULLEY(JAPAN),9800
MPTJ,2,20211227,20220510,IN,MIKIPULLEY(JAPAN),9800,BEM-2T 240L,BEM电源,2000,RMB,31.578,,1901,,,MIKIPULLEY(JAPAN),9800
MPTJ,2,20211227,20220111,IN,MIKIPULLEY(KOREA),9800,24V-28D,BXL-16-10N-060,4,RMB,504.8019,,1401,,,MIKIPULLEY(KOREA),9800
MPTJ,2,20211227,20210726,IN,MIKIPULLEY(JAPAN),9800,BEW-1R,BEM电源,2000,RMB,69.7268,,1901,,,MIKIPULLEY(JAPAN),9800
MPTJ,2,20211227,20211208,IN,MIKIPULLEY(HONG KONG),9800,24V 20JIS,111-10-11N,200,RMB,192,,1301,,,MIKIPULLEY(HONG KONG),9800
MPTJ,2,20211227,20220110,IN,MIKIPULLEY(JAPAN),9800,CS-12-33G,定子本体,100,RMB,63.9216,,1301,,,MIKIPULLEY(JAPAN),9800
MPTJ,2,20211227,20211129,IN,MIKIPULLEY(SHANG HAI),9800,24V-24D,BXH-12-10N-01,500,RMB,333,,1401,,,MIKIPULLEY(SHANG HAI),9800
MPTJ,2,20211227,20220121,IN,MIKIPULLEY(SHANG HAI),9800,90V-19D,BXL-10-10N-05,24,RMB,210,,1401,,,MIKIPULLEY(SHANG HAI),9800
MPTJ,2,20211227,20211207,IN,MIKIPULLEY(KOREA),9800,,BXW-02-10-53,40,RMB,43.5,,1201,,,MIKIPULLEY(KOREA),9800
MPTJ,2,20211227,20220104,IN,MIKIPULLEY(KOREA),9800,,BXW-02-10-53,240,RMB,43.5,,1201,,,MIKIPULLEY(KOREA),9800
MPTJ,2,20211227,20220301,IN,MIKIPULLEY(KOREA),9800,,BXW-02-10-53,320,RMB,277.5039,,1201,,,MIKIPULLEY(KOREA),9800
MPTJ,2,20211227,20220301,IN,MIKIPULLEY(KOREA),9800,,BXW-02-10-53,320,RMB,277.5039,,1201,,,MIKIPULLEY(KOREA),9800
MPTJ,2,20211227,20220301,IN,MIKIPULLEY(KOREA),9800,,BXW-01-10-89,432,RMB,251.9863,,1201,,,MIKIPULLEY(KOREA),9800
MPTJ,2,20211227,20220301,IN,MIKIPULLEY(KOREA),9800,,BXW-01-10-89,432,RMB,251.9863,,1201,,,MIKIPULLEY(KOREA),9800
MPTJ,2,20211227,20220209,IN,MIKIPULLEY(TAI WAN),9800,,大料筐用塑料袋（840*1050*850）,100,RMB,7.4639,,1401,其他,OUT,MIKIPULLEY(TAI WAN),9800
MPTJ,2,20211227,20220110,IN,MIKIPULLEY(JAPAN),9800,800*500*540,料筐（金属包装箱）,40,RMB,253.5174,,2301,其他,OUT,MIKIPULLEY(JAPAN),9800
MPTJ,2,20211227,20220124,IN,MIKIPULLEY(JAPAN),9800,800*500*540,料筐（金属包装箱）,40,RMB,253.5174,,2301,其他,OUT,MIKIPULLEY(JAPAN),9800
MPTJ,2,20211227,20220214,IN,MIKIPULLEY(JAPAN),9800,800*500*540,料筐（金属包装箱）,80,RMB,253.5174,,2301,其他,OUT,MIKIPULLEY(JAPAN),9800
MPTJ,2,20211227,20220307,IN,MIKIPULLEY(JAPAN),9800,800*500*540,料筐（金属包装箱）,40,RMB,253.5174,,2301,其他,OUT,MIKIPULLEY(JAPAN),9800
